id,Ref_produit,Marque,Description
14627,693300-001,HP,Display Back Cover
14628,F0-01158000,Toshiba,Ddl 1280Zz
14629,NEW-LED-W040,Neomounts,Neomounts Flat Screen Wall Mount (fixedultra thin)
14630,FL3-3938,CANON,"COVER, LEFT"
14631,OUT-LC-970BK,Outlet,BRO LC-970BK - Zwart - origineel - inktcartridge - voor DCP-135C. DCP-150C. DCP-153C. DCP-157C. MFC-235C. MFC-260C
14632,302HN08020,Kyocera,Cover MPF
14633,HIK-1271ZJ-120BK,Hikvision,Pendant mount
14634,CFQ7TTC0HX99-001N-1M1M,Microsoft,"CSP Windows 365 Business 16 vCPU, 64 GB, 512 GB (with Windows Hybrid Benefit) [1M1M] New Commerce"
14635,W128151812,Lenovo,BDPLANAR 
14636,TC3-PK+PK5MCABLES,VISION,"Dalle audiovisuelle modulaire Techconnect VISION - GARANTIE À VIE - Dalle murale et jeu de câbles 5 m - comprend les modules : 1 VGA avec minijack, 1 HDMI, 1 USB-B (3.0, B en façade ), 3 modules enjoliveurs - câbles : 1 VGA, 1 minijack, 1 HDMI (4K, 28 AWG"
14637,MSC184F40-178M,CoreParts,"18,4"" LCD FHD Matte"
14638,0992552101,Konica Minolta,Bushing Pp6
14639,W127784308,Dell,Qlogic 2562 Dual Channel
14640,W125950719,Lenovo,Upper C82LM PL_ABLUD FP 
14641,90ACC0193,Datalogic,"Power Adapter, 12V/18W"
14642,W125774452,HP,TOP COVER ACG W KB BL BEL
14643,W126862520,Samsung,ASSY INSTALL-CUSTOM 
14644,97-858-216,ERGOTRON,"Ergotron Sit-Stand Combo Extender - Short - composant de montage (bras prolongateur, glissière à fixation murale, cache de bras) - aluminium poli, plastique haute qualité - blanc"
14645,738687-071,HP,Keyboard (SPANISH)
14646,P63520112           ,HP - POLY           ,1YR POLY+ GROUP 700 - 1080P    
14647,FRU43W9207,Lenovo,System Board
14648,42502301,OKIDATA,"Cable_guard_film, ML5590"
14649,LX5893003,Brother,document Scanner Unit
14650,VSP4900-24S-B3      ,EXTREME NETWORKS    ,VSP4900-24S BUNDLE INCL 350W AC
14651,4XJ1D33269          ,LENOVO              ,LENOVO 14.0 INCH PRIVACY FILTER
14652,L03432-601,HP,Assy Mb Dsc Gtx 1080 8Gb I7-77
14653,C13T15974010,Epson,Ink Red No. 1597 17ml
14654,463410-451,HP,SODIMM 4GB PC2-6400 QIMONDA HY
14655,68Y7354,Lenovo,IBM 6Gbit SAS HBA Adapter
14656,W126233911,Canon,"LABEL, PRODUCT NAME, G3020"
14657,06008B9D00,Bosch,Bosch Easy Mower 18V-32-200 Tondeuse sans fil
14658,6144261,Zilverstad,Zilverstad Tirelire roi grenouille argenté laqué 6144261
14659,407340,Ricoh,TONER BLACK
14660,BA31-00132A,Samsung,Fan
14661,0-MICHEE23CA,HEDEN,Casque HEDEN Evolution bluetooth / filaire Noir
14662,05K9428-RFB,IBM,LCD 13.3
14663,SWL-01SSC4216,SonicWall,LIC: GATEWAY ANTI-MALWARE  INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA6600 .(1 YR)
14664,W125641978,Toshiba,ASYB PWA SYS H280S
14665,5N20L76637,Lenovo,Keyboard (SWISS)
14666,W126525723,Samsung,ASSY CASE 
14667,ZT61043-T0E01C0Z,Zebra,"TT Printer ZT610, 4"", 300"
14668,VBI9934C,2-Power,Camcorder Battery 3.6V 2400mAh
14669,W126544265,Samsung,SVC-DEEP 
14670,5WS7A01759,lenovo,5Y FDN SVC NBD
14671,5AAPRZZG4016AH,Kyocera,PWB Assy KP-645A FS-5800C (APR
14672,W125888080,Lenovo,UpperCaseASM_RUS C20VG HD MGBL
14673,A860SNFG212U1,CipherLab,"8600, Batch, no reader, EU"
14674,K22K2,Dell,SVC HD 320G S2 7.2K 512E SGT
14675,ST373455LW-RFB,Seagate,73GB Hard Drive (ULTRA320
14676,4407577640,Toshiba,Guide L
14677,ettzd611dhc-6,ZEBRA,"Zebra ZD611-HC, 8 pts/mm (203 dpi), massicot, USB, BT (BLE), Ethernet, EPLII, ZPLII, en kit (USB), blanc imprimante d'étiquettes, santé, thermique direct, 8 pts/mm (203 dpi), largeur de médium (max.): 60 mm, largeur d'impression (max.): 56 mm, diamètre de rouleau (max.): 127 mm, vitesse (max.): 203 mm/s, massicot, boîtier désinfectable, connecion: USB (type B, Host), Bluetooth (BLE), Ethernet, RAM: 256 Mo, flash: 512 Mo, EPLII, ZPLII, inclus: câble (USB), bloc d'alimentation, cordon secteur (UE, UK), couleur: blanc"
14678,SFTWES10005Y-DIGI,apc,APC EcoStruxure IT Expert 1000 nodes 5 years
14679,21FC0049GE,Lenovo,Lenovo TP P16v G1 Core i9 65GB 1TB SSD W11P
14680,W126035035,Asus,G731GW X50 TP FFC 8P 0.5 L77.5
14681,W126613528,Lenovo,MBC21A4NOKR556 MX4504G_SD CN 
14682,L0R40AE#BGX,HP,Ink 957XL Black
14683,809841-601,HP,Mainboard
14684,9165AC6-RFB,IBM,"TV L151 15"" FLAT LCD BLACK"
14685,W127039844,Dell,Palmrest with Keyboard ITA
14686,W126595218,Lenovo,Harddrive 600GB 15K 12Gbps
14687,D31466,DICOTA,DICOTA Secret - Filtre de confidentialité pour ordinateur portable - à double sens - adhésif - noir - pour Lenovo IdeaPad Miix 320-10ICR
14688,W126881359,Lenovo,COVER Upper Case ASM_CZE/SLK 
14689,691209-001,HP,CBI_CABLE HDD
14690,EF0300FARMU-RFB,Hewlett Packard Enterprise,300GB 15kADrive
14691,L28695-001,HP,MB DSC P2 4GB E-2186M
14692,1031124001,Konica Minolta,Roller
14693,M270K,Dell,SVC PRC 575 2.0 1MB CPEN 1C M0
14694,6LA41361000,Toshiba,Holder Hvt Tr2
14695,MSPP73728,CoreParts,Apple MacBook Pro 13.3 Retina
14696,W126347187,Brodit,Active holder for fixed 
14697,UB9T5PE,HP,1Y PW NBD Svc Color LJ Pro
14698,N6PATC1MGN,STARTECH,StarTech.com Câble réseau Cat6 Gigabit UTP sans crochet de 1m - Cordon Ethernet RJ45 anti-accroc - Câble patch Mâle / Mâle - Vert - Cordon de raccordement - RJ-45 (M) pour RJ-45 (M) - 1 m - UTP - CAT 6 - sans crochet - vert
14699,W125950883,Lenovo,Upper C82LM PL_BLKD FP 
14700,H42NDE              ,hpe                 ,3 YEAR TECH CARE BASIC WDMR    
14701,4401762070,Toshiba,Mylar Bracket Ptl
14702,4407940800,Toshiba,Cam Pu
14703,414042-001-RFB,HP,"1.0GB, 533MHZ DDR2, PC2-4200,("
14704,Z1B9_533_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Silver/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 2 To/Clavier Espagnol/USB C 35W double/FinalCut_Pro_&_Logic_Pro"
14705,162B9T/00,PHILIPS,"Philips B Line 162B9T - Écran LED - 16"" (15.6"" visualisable) - écran tactile - 1366 x 768 @ 60 Hz - TN - 220 cd/m² - 500:1 - 4 ms - HDMI, DVI, DisplayPort, VGA - haut-parleurs - texture noire"
14706,W128173416,Dell,PSU 1100W R530 R630 R730 
14707,DWXL3637-B060Q3,DLH,"DLH - Batterie de portable (équivalent à : Dell PW23Y, Dell 0PW23Y, Dell TP1GT, Dell RNP72, Dell 0RNP72) - Lithium Ion - 7850 mAh - 60 Wh - pour Dell XPS 13 9360"
14708,34813121,SCHROFF,Cassette Face Retrofit 3U 21P 34813-121
14709,MMH0837/2048,CoreParts,2GB Memory Module for HP
14710,P20107112           ,HP - POLY           ,1YR POLY+ RMX 2000 MPMRX 7     
14711,2P-PA5108U-1BRS,2-Power,Main Battery Pack 10.8V 5200mAh
14712,CG1-2128,CANON,NAPPE BASE
14713,82E23191-,NEC,G POL SASSY MT1050G(S TYPE) EO
14714,W126217720,Canon,COLLAR
14715,W127030065,Sony,MOUNT ASSY(8026) SERVICE
14716,45N1038-RFB,Lenovo,IBM 6 CELL PANOSONIC SHINAI-3
14717,RM1-0046-RFB,HP,"Cover, Right"
14718,02K0440B-RFB,IBM,18.2GB W/U SCSI HS SL HDD
14719,JC63-05304L,HP,Coverfrontopedummy Clx9301Na
14720,PNV-A9081R,hanwha,4K AI IR Outdoor Vandal Dome
14721,W126884917,Lenovo,COVER UpperCaseASM_BUL C82SD 
14722,90202483,Lenovo,QIQY5 LCD Cover TEXTURE
14723,W126177794,Konica Minolta,Controller Card
14724,RP000107769,HP,RAM - 1G/533 - PC24200
14725,W126164786,Honeywell,"HF680, Basic, 3-Year Standard "
14726,FRU00KT068,Lenovo,Mech Asm
14727,10L1539-RFB,IBM,1400 1500Tp System Board
14728,660067-001,Hewlett Packard Enterprise,Lsbn 4170He 6C 2.1G 75W
14729,W125738702,Lenovo,"CMNM-CS20,BK-BL,CHY,HUN"
14730,359098-003,HP,Assy Fddusbdrive Rohs
14731,44644002,OKIDATA,"CONN Cord-AMP13P-AMP12P, MC7x0TR"
14732,6LB12597000,Toshiba,Harness Sk12S
14733,JC66-00803A,HP,Pick Up Gear
14734,4407834800,Toshiba,Holder Cam Sft
14735,W127381686,Ruckus,Partner WatchDog Premium 
14736,1657075,Epson,Hinge B Cap Ph
14737,FSP:GB3S20Z00FRST3,FUJITSU,Fujitsu Support Pack On-Site Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années (à partir de la date d'achat originale de l'appareil) - sur site - 9x5 - temps de réponse : NBD - doit être acheté dans les 90 jours suivant l'acha
14738,39V3604,IBM,Transfer Roll Assembly
14739,01HV539,lenovo,1Y PW 24X7X24 CSR X3850 X6
14740,W125810257,Brother,MAIN CHASIS RJ2050 ASSY (SP)
14741,49Y5151,ibm,IBM Intel Xeon Proc E5506 2.13Ghz
14742,41320720000,Toshiba,Lever Empty
14743,MB.GC007.001,Acer,MAIN BD.Q67
14744,65309461BA14A12,ADOBE,VIPC/InCopy - Pro for teams/ALL/Multi European Languages/Multiple Platforms/Subscription Renewal/1 User
14745,ZYX-LICGOLDZZ0019F,ZYXEL,Zyxel ATP LIC-Gold -  Gold Security Pack 4 year for ATP100(W)
14746,67308,Infosec,ONDULEUR E3 PRO 1000 RT
14747,6966420000,Acer,ARUBA BTM ODDPLATE 'CD-RW'
14748,P000611890,Toshiba,ID LABEL (BLANK)
14749,21.15.2867,roline,ROLINE S/FTP (PiMF) PatchCord Cat.6A/Component L..
14750,K-STAND-RADON,the g-lab,K-Stand Radon - 2xUSB/RGB
14751,WE009S10L,WE,***WE Verre tremp AMSUNG GALAXY S10L
14752,H28Q6E              ,hpe                 ,5Y TC BAS MSA 2062 STORAGE SVC 
14753,W127113739,Dell,DELL 8GB (1*8GB) 2RX8 
14754,S26361-K1366-V100,Fujitsu,PY CB ETH SWITCH/IBP 1GB 18 6
14755,W126178733,Konica Minolta,Holder
14756,1074161001,Konica Minolta,Tape 9765
14757,685185-001-RFB,Hewlett Packard Enterprise,Board Riser Lsi
14758,NP657-RFB,Dell,73G SAS 3 15K 2.5 SGT MAV
14759,65297890BA12B12     ,ADOBE               ,DREAMWEAVER FOR ENTERPRISE     
14760,B5423D58-F509-4C57-A873-7F50095EB518,Microsoft CSP,Power Apps per app plan (1 app or portal)
14761,104523-130,Zebra,"Premier Card, red, 500pcs"
14762,782636-001,HP,Motherboard 1Gb I3-4030U
14763,W126227692,Canon,FUNCTION BUTTON ASSEMBLY
14764,12074088,Toshiba,Detect0R Plate
14765,X36985703,Sony,"HOLDER(R) ASSY,ARM,LID"
14766,FRU91P8327,Lenovo,Keyboard (FRENCH)
14767,A61CH62111,epson,"Epson DM-D70, VESA, 17,8 cm (7''), USB, noir"
14768,TV-IP320PI2K,TRENDNET,TRENDNET - Outdoor PoE 1.3MP Day/Night Network Camera (P)
14769,K0D0W,Dell,CBL VGA 3560/3570
14770,W127214648,Fujitsu,AC-ADPER40W EPS T3
14771,W126547634,Samsung,TIM PAD-TAPE 
14772,854902,Brodit,ProClip Volvo FH series 13-16
14773,W126063219,Brady,High Temperature PermaSleeve 
14774,W126274391,Lenovo,16:9 FHD IPS 2.4t 300nit 
14775,DIS-H60-24          ,D-LINK              ,60W ULTRASLIM DESIGN 17.5MM 1SU
14776,R39-00374,MICROSOFT,"Microsoft Windows Server - Licence pour connecteur externe et assurance logicielle - nombre illimité d'utilisateurs externes - académique - Enterprise, Select, SPLA, Select Plus, EES - Toutes les langues"
14777,6LJ06753000,Toshiba,Seal Blade Side Fr
14778,MO-XBR-000192,MicroOptics,"SFP+ 850nm, MMF, 100m, LC"
14779,L32774-A41,HP,Top Cover W Kb N17E Bl Drl Bel
14780,RH7-7106,CANON,THERMOSWITCH ORIGINAL HP/CANON
14781,W126916743,Cisco SB,Services Router 1101
14782,Z172_1106_FR_CTO,APPLE,CTO/MacPro Rack/M2 Ultra CPU 24 coeurs GPU 76 coeurs Neural Engine 32 coeurs/192 Go de mémoire unifiée/SSD 8 To/MKNUMTID_FR/MM2/Logic_Pro
14783,USED-Kosatec-131270,hp,PC HP EliteDesk 800 G4 i3-8100 / 24GB DDR / 256GB SSD / Win 11 Home / MTower
14784,W125886272,Lenovo,ThorP T-1 INTEL FRU CABLE 
14785,JC63-04226E,HP,Coverope Slm2875Fw Abs 2.5
14786,4474242102,Konica Minolta,Gear 42T
14787,LU32E85KRS/EN,SAMSUNG,"Samsung U32E850R - UE850 Series - écran LED - 31.5"" - 3840 x 2160 4K UHD (2160p) @ 60 Hz - Plane to Line Switching (PLS) - 300 cd/m² - 1000:1 - 4 ms - 2xHDMI, DisplayPort - noir, titan argenté"
14788,BA75-02375A,Samsung,LCD Back Cover
14789,Z1C8_436_FR_CTO,APPLE,CTO/MBP14 M3 Space Grey/Puce Apple M3 CPU8_GPU10_NE16/24Go/SSD 512 Go/Clavier Espagnol/USB C 70W/Logic_Pro
14790,U2VA0PE,Hewlett Packard Enterprise,Foundation Care 1Y PW CTR
14791,A-WORK-MEET-O       ,CISCO               ,WEBEX MEETINGS + VOIP OVERAGE  
14792,338491311,Sony,Spring (Thrust Retainer)
14793,W126939738,Lenovo,COVER Upper Case ASM_SLV 
14794,665965-DH1,HP,KEYBOARD IMR/CSR NORDIC
14795,4408318270,Toshiba,M/Dc Dev 371
14796,V-ESSVUL-2S-BE1MG-20,Veeam,Veeam Express Migration from Data Platform Essenti
14797,bix2753cosg,BIXOLON,"Bixolon SRP-275III, USB, RS232, massicot, noir imprimante tickets, impression à aiguilles, largeur de médium (max.): 76 mm, largeur d'impression (max.): 63 mm, diamètre de rouleau (max.): 83 mm, vitesse (max.): 5 lps, USB (type B), RS232 (25 broches), connecteur tiroir-caisse, massicot, BXL/POS, inclus: bloc d'alimentation, cordon secteur, rouleau à reçus, couleur: noir"
14798,RP001234540,HP,LaserJet Cabinet/StanD
14799,CON-PSRT-CBS3PX04   ,CISCO               ,PRTNR SS 8X5XNBD CBS350 MANAGED
14800,CON-PSUP-2248EBDB   ,CISCO               ,PRTNR SUP 24X7X4 REVERSED      
14801,65570,Delock,Delock Adapter Sub-D 9Pin Bu/Bu Nullmodem
14802,TEW-823DAP          ,TRENDNET            ,AC1300 DUAL BAND POE INDOOR    
14803,RP001226353,Hewlett Packard Enterprise,PROC Clvertwn X53552.66/13
14804,LUM-SW-3,smart technologies ulc,SMART Lumio Standard Plan 3year Subscription
14805,0609-001174,HPinc,"CONTACT IMAGE SENSOR,215MM,1728DOT,5MS,5"
14806,YG6-2252,CANON,"MOTOR ASS`Y, ROTATION"
14807,WI221270,Vivolink,Outlet Panel HDMI + VGA + AUD
14808,12074415,Toshiba,Paper Rol Spring
14809,WXPXJ,Dell,Motherboard DSV AIO 2710
14810,RP000361956,HP,"Flag, Media Sensing"
14811,318-055-015,Honeywell,"Battery, fits for: CT40 gen. 2"
14812,4407637540,Toshiba,Roll T Feed I
14813,65324172BC02A12,ADOBE,"Adobe Acrobat Pro for enterprise - Subscription Renewal - 1 utilisateur - gouv. - Value Incentive Plan - niveau 2 (10-49) - Win, Mac - Multi European Languages"
14814,UM975,Dell,Keyboard (FRENCH)
14815,Z1B6_896_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 8 coeurs et Neural Engine 16 coeurs + 8 Go de mémoire unifiée/mémoire unifiée selectionnée avec le processeur/SSD 256 Go/Clavier Portugais/USB C 70 W/No_Software"
14816,W126414548,Samsung,Power PCB Assembly
14817,W126860606,Samsung,"GUIDE-STAND32HE470S,PC+ABS,T3."
14818,61H2493-RFB,IBM,6263/65/75/85 SYS BRD
14819,10H4056-RFB,IBM,TP 701/560 EXT. FLOPPY
14820,C584R,Dell,STRG MEDIA HDD 80G RD1000 ROW
14821,FF6-0153,CANON,"COVER, HOPPER, UPPER"
14822,RP001229918,Hewlett Packard Enterprise,ProLiant DL360p Gen8 E52690
14823,239704-001,HPinc,AC ADAPTER
14824,DN-19 26U-6/6-1,Digitus,Digitus Unique DN-19 26U-6/6-1 - rack - 26U
14825,A1RF362400,Konica Minolta,Collection Gear /2 14T
14826,20002925,AVM,AVM FRITZ! Box 6850 LTE
14827,YH7-3028,CANON,"FAN, V2/V4"
14828,L20388-DH1,HP,Top Cover W Kb Ff Snw Nordic
14829,H652H,Dell,CVR TOP DUMMY 5330DN
14830,178493911,Sony,"Connector, Board To Board"
14831,FRU45N8361,Lenovo,SSD 128Gb
14832,1631929,Epson,Motor Speed Target
14833,TF6538UHSC-B2AG,IIYAMA,"IIYAMA afficheur professionnel tactile 65"" TF6538UHSC-B2AG ="
14834,P736000445          ,HP - POLY           ,3YR PARTNER POLY+ SOFTWARE -   
14835,365405812,Sony,Spacer (3X2)
14836,FRU01YP625,Lenovo,NMCHYKB-BLBKSE
14837,FS7-2692,CANON,"SPRING, COMPRESSION"
14838,FUJ:CA05967-1651,Fujitsu,"DX S3 AC PSU 2,5 & 3,5"
14839,2P-V26808-B4934-D128,2-Power,8GB MultiSpeed 1066/1333/1600 MHz SODIMM
14840,Z15Y_110_FR_CTO,APPLE,"CTO/MacBook Air 13 pouces Lumière stellaire/Puce Apple M2 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs + 8 Go de memoire unifiée/mémoire unifiée selectionnée avec le processeur/SSD 256 Go/Clavier Espagnol/USB C 30 W/No_Software"
14841,APC-AR7157W,APC,Netshelter SX 48U 750mm Wide PerforatedSplit Doors SE White
14842,N9K-C93108TC-EX,ibm,CISCO NEXUS 93108TC-EX SWITCH
14843,448207-RTF,HP,Tpm Off
14844,AIO.21.2D6K7EAR/HP,Hewlett Packard,"All In One 21"" - HP 21-b0046nf Renew - J5040/8Go/1To/Win10 64 WiFi+BT/Webcam."
14845,162275411,Sony,"Printed Circuit Board,Vr-60"
14846,4407610090,Toshiba,Collar
14847,FSP:G-SW5V660PRL6C,fujitsu,SP 5Y TS 9X5 4H RT
14848,252358-001-RFB,HP,"Board, Power Switch w/ LED"
14849,F.01U.031.794,Bosch,SPP DIO SIG SM BAS316 R
14850,A1961824A,Sony,Motherboard
14851,80129,C2G,"C2G Value Series - Câble audio - mini-phone stereo 3.5 mm mâle pour mini-phone stereo 3.5 mm mâle - 3 m - blindé - noir - connecteur à 90°, connecteur à angle droit"
14852,40861401,OKIDATA,"Spring Lock, C9300"
14853,W126883864,Lenovo,COVER 
14854,GMVAX1              ,GETAC               ,LATCH CLIP RETROFIT KIT FOR    
14855,W126347296,Brodit,Active holder for fixed 
14856,1T02T90NLC,Kyocera,Kyocera 1T02T90NL0 TK-3160 Toner 12.5 K
14857,426048001,Sony,"RETAINER (PL), CONNECTOR"
14858,894 46,Gedore,GEDORE Clé à molette métrique
14859,FRU04X0347,Lenovo,Ffc Cable
14860,842324-081,HP,Backlit keyboard (Denmark)
14861,595-10006,Dell,Toner Black Use and Return
14862,W126856409,Samsung,ASSY OPEN 
14863,FM1-M883-000,Canon,FM1-M883-000 DF DRIVER PCB ASSEMBLY
14864,W126543897,Samsung,"ADIABATIC-SPIT MOTOR,CERAMIC "
14865,763H7,Dell,SVC PLN TPM E31535MV5 W7
14866,UB3ECE-DA-CG        ,STG                 ,SKYHIGH WSG TO MV UCEB UPG     
14867,4470400701,Konica Minolta,Roller
14868,362571902,Sony,"Bracket,Fp"
14869,658478-B21-RFB,Hewlett Packard Enterprise,200GB 6G SAS MLC SFF
14870,W125689921,Lenovo,MB W 81HN NOK I38130U UMA 4G
14871,W126862664,Samsung,GUARD BOTTLERF5500K 
14872,W126535659,Samsung,ASSY GUARD 
14873,W125885944,Lenovo,Kylo planar FRU Intel® 
14874,F.01U.299.876,Bosch,SPA Test consol with cable
14875,A8314498A,Sony,"Mounted C.Board, Cn-1017"
14876,D2CONPERHDMI,D2 DIFFUSION,Convertisseur HD Péritel vers HDMI jusqu'à 1080P
14877,3252010             ,CITIZEN SYSTEMS     ,2X1IN DT/5IN OD 1IN CORE       
14878,Z15W_105_FR_CTO,APPLE,"CTO/MacBook Air 13 pouces Argent/Puce Apple M2 CPU 8 coeurs, GPU 8 coeurs et Neural Engine 16 coeurs + 8 Go de memoire unifiée/mémoire unifiée selectionnée avec le processeur/SSD 256 Go/Clavier Portugais/USB C 30 W/No_Software"
14879,W127284418,Lenovo,Cover Upper Case Asm_Bul 
14880,4XGOF28784-RFB,Lenovo,2.4GHZ PROCESSOR
14881,SM-X706BZABEUB,samsung,Samsung Galaxy Tab S8 256GB Wi-Fi/LTE(5G) Graphite
14882,CD5-4636,CANON,"COVER, DIAL"
14883,B-FMPA-HC-V2,m.red,Fitting droit 14mm ARGB Hexagonal avec Helice
14884,064-0334-002,Hewlett Packard Enterprise,DRIVE SEAGATE 146GB FC 15K.5
14885,Z19L_161_FR_CTO,APPLE,CTO/iMac 24 pouces Blue/Puce Apple M3 CPU8_GPU10_NE16/16Go/SSD_2TO/MK_TOUCHID_PAVNUM_IE_IMAC/MM2_MT2_IMAC/No_Software
14886,W126707556,Lenovo,COVER Upper Case ASM_EURO ENG 
14887,W126706135,Lenovo,"NB_KYB SER2 KBD BK-BL,LTN,ILD"
14888,448712201,Sony,"T-Sheet (B), Duct"
14889,790485-001-RFB,Hewlett Packard Enterprise,Motherboard For Intel Xeon
14890,9322182061,Konica Minolta,Clutch Cl9 2100
14891,646901-001-RFB,Hewlett Packard Enterprise,ProLiant DL360p Gen8 E52630
14892,5B20M56280,Lenovo,Mainboard
14893,ALT108163B,2-Power,Ultraslim Docking Station includes power cable Replaces D9Y32AA#ABA. For US.
14894,CON-PSUP-AIREPAAP   ,CISCO               ,PRTNR SUP 24X7X4 802.11AC W2 AP
14895,90025-02            ,POLY                ,SPARE CABLE AND CONNECTOR ASSY 
14896,B1302060,KYOCERA,BINDING SCREW BVM2X6 (BLACK)
14897,014-0842-006,Hewlett Packard Enterprise,BLADE ASSY BOTTOM/HARP UV2
14898,W126171767,Intel,Core i3-10100F processor 3.6 
14899,W125792915,Lenovo,MB B81M9WIN N5030UMA 4G NOEMMC
14900,W127219093,Fujitsu,8Gb (1X8Gb) 1Rx4 L Ddr3-1600 
14901,W126917824,Havis,Package - Docking Station 
14902,3051ZZBER120GLZZ    ,BITDEFENDER         ,GRAVITYZONE ULTRA 90 DAYS DATA 
14903,EPSC11CJ60407,EPSON,"EPSON EcoTank ET-4856 MFP 4en1 Jet d'encre couleur A4 rechargeable 15.5ppm/8,5pp"
14904,HS7V8E              ,hpe                 ,HPE 4Y TC BAS DL360 GEN10 SVC  
14905,W125669647,Lenovo,Bumblebee-1 
14906,15AN48881F,Konica Minolta,Entrance Guide Plate /3
14907,R760_3OS5P4,DELL,Dell Effectuez une mise à niveau de 3 ans Next Business Day vers 5 ans ProSupport 4H - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 24x7 - temps de réponse : 4 h - pour PowerEdge R760
14908,639493-B21-RFB,Hewlett Packard Enterprise,X5690 3.56 GHz - DL160G6
14909,JZ496AAE,hewlett packard enterprise,Aruba ClearPass NL OG 25 ESTOC
14910,W128111500,Cambium Networks,"Care Advanced, 3-year support "
14911,tt3457,HONEYWELL,"Honeywell, ruban transfert thermique, TMX 2010 / HP06 cire/résine, 90 mm, 10 rouleau/boîte, noir Honeywell, ruban transfert thermique, TMX 2010 / HP06 cire/résine, largeur de rouleau 90 mm, mandrin: 25,4 mm, longueur: 200 m, 10 rouleau/boîte, enroulage intérieur, couleur : noir"
14912,835610-001,Hewlett Packard Enterprise,CPU BDW E5-2623 V4 4C 2.6GHZ
14913,N3024P_LLW5PS,DELL,"Dell Effectuez une mise à niveau de Lifetime Limited Warranty vers 5 ans ProSupport - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 10x5 - temps de réponse : NBD - NPOS - pour Networking N3024, ProSupport Plus N3024"
14914,9Y74P,Dell,ASSY BZL DVDRW SLVR 3750
14915,J8712-69001,HPent,HP 875W zl Power Supply  J8712A
14916,CARESURFACESTU36,D4B CARE,Surface Laptop Studio D4B Care 36M - Panne et casse illimitée  - Contrat de maintenance prolongé - 3 années remplacement par Chronoposttemps de réponse : J+1 - Pour Microsoft tout modèle Surface Laptop Studio
14917,00213027,Hama,HAMA Echtglas Displayschutz Premium Crystal iPhone
14918,FP7110-TA-3Y,cisco,CISCO FirePOWER 7110 IPS and Apps 3YR Service Subscription
14919,MP997,Dell,SVC PRC 80556K XCL L5310 G0
14920,W126348966,Brodit,ProClip
14921,41306784000,Toshiba,Refrecter Xl
14922,4402079570,Toshiba,Mylar Exit Roller
14923,P1094879-004        ,ZEBRA               ,KIT UPGRADE CONTACT STATION    
14924,82G7061-RFB,IBM,5250 Emul. Isa
14925,W125695754,Lenovo,"NOK,i5-8350U,AMT,vP,PB"
14926,40805101,OKIDATA,Battery Assy (second.) OF-57/5900
14927,N028H-RFB,Dell,Assy Pwa Planar W/Mzr T610 
14928,111806611,Sony,CERAMIC CHIP 0.1uF 10% 100V
14929,RP000073180,HP,12GB HDD E500 SMART II
14930,L37644-001,HP,SSD 2Tb 2280Pcie-3X4Nvmetlc2Si
14931,43N9666,Lenovo,COVER TAMPA
14932,60066062031,Toshiba,Toner
14933,48098,LINDY,LINDY Cat.6 UTP Cable White 15m
14934,RP000089194,Hewlett Packard Enterprise,72GB 15K RPM FC HDD
14935,MSP-GTE32-MOEF      ,STG                 ,MSP FEE - SKUS LICENSED PER    
14936,23.MS2N7.001,Acer,Speaker L+R
14937,TEM-RB30.1Y,SONY,TEOS -
14938,Z19H_15_FR_CTO,APPLE,CTO/iMac 24 pouces Green/Puce Apple M3 CPU8_GPU10_NE16/16Go/SSD_256GB/MK_TOUCHID_PAVNUM_US_IMAC/MT2_IMAC/No_Software
14939,MO27.275S1AE/00,Philips,"Ecran 27"" Philips S-line 275S1AE/00"
14940,MW31S3,Alessi,Alessi Circus Lot de 3 boîtes en fer MW31S3
14941,W126251604,Canon,"FERRITE,CORE"
14942,201721-001-RFB,HP,20Gb IDE HDD
14943,ECMSD64GXC10GP,Emtec,Emtec SD 64GB UHS-I U1 EliteGold
14944,MST-6VC-00979,Microsoft,Microsoft Win Remote Desktop Services CAL Single Language License & Software Assurance Open Value No Level 3 Years Acquired Year 1 AP Device CAL
14945,EMSEOFE2E-AA-AA     ,STG                 ,TRELLIX EMAIL SEC SRV ED (USER)
14946,152698181,Sony,"Cap Assy,High-Voltage(W-Cab"
14947,FRU41Y5294,Lenovo,BIE ASM
14948,480939-001,Hewlett Packard Enterprise,"450GB 15.000Rpm SAS 3.5"" DP"
14949,6LE00793000,Toshiba,Cvr Sd Adj R T
14950,VEE-VADVV1SBS3MG12,Veeam,Simple Migration from Veeam Data Platform Advanced Standard to - 3 years with Production Support. 12 Instance pack.
14951,W125974124,Dell,Interface Board for Dell 
