part,fournisseur,description,marque,prix,quantity
UA6H1E,macle,EPACK 5YR NextBusDay Onsite NB,hp inc.,223.0,50
DCPJ1200WRE1,Octant,BROTHER DCP-J1200W Multifonction Jet d'encre Couleur A4 3-en-1 Wi-Fi,brodcpj1200w,84.44,15
P-P86810112,Also,HP Poly 1yr+ Rove 40 Anti Microbial DECT IP Phone Handset,hp inc.,11.67,100
43851,Difox,Wiha SB 369RH9 ErgoStar,wiha,24.53,3
MUF-512BE3/APC,Also,SAMSUNG BAR PLUS 512Go Champagne Silver,samsung,72.55,5
U46Q6E,Also,HP 3 years Onsite Thin Client Notebook Bundled Hardware Support,hp inc.,53.97,100
1702T68NL0,techdata,"Kyocera MK 3170 - Kit d'entretien - pour ECOSYS P3050DN, P3055DN, P3060DN",kyocera,278.8,2
K60603WW,techdata,Kensington Slim NanoSaver Combination Laptop Lock - Câble de sécurité - 1.8 m,kensington,44.92,17
835A31-4,Difox,Makita 835A31-4 Embouti profond pour MAKPAC,makita,7.09,1
2P-718756-001,psaparts,55, ,2.0,27
MB3000GBKAC,EET,HDD 3TB 6GB/s SATA 7.2k 3.5,hewlett packard enterprise,277.5,27
94Y6626,macle,IBM CABLE ARM KIT GENERATION III,ibm,31.0,1
P-P736000404,Also,HP Poly 3yr+ software Service Clariti Manager Appliance and Virtual Edition - Audio or Content Base Software License,hp inc.,1128.6,100
GLBW13305213,EET,"Adhesive Privacy Filter 13.5"" ",gearlab,36.6,67
2P-M393A2K40BB2-CTD,psaparts,20, ,2.0,23
7410-109,convena,Jabra SPEAK 410 MS,jabra,72.49,100
0601446400,Difox,Bosch GLI 18V-1900 Projecteur de chantier,bosch,91.56,10
527F9A,techdata,HP - LaserJet - collecteur de toner usagé - pour P/N: 6QQ03A#ABX,hp,58.84,95
937.415,Secomp,"BACHMANN DESK2 ALU WHITE 2x UTE 1x CM 1x USB A/C 22W 0,2m GST18",bachmann,168.64,5
4X20E53340,macle,LENOVO AC-ADAPTER 65W SLIM TIP EU1,lenovo,44.0,3
HP4B0E,techdata,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 1 année - expédition - 24x7 - temps de réponse : 4 h - universitaire, pour les particuliers - pour P/N: JL357A#AC3, JL357A#AC4, JL357A#ACC, JL357A#AKM, JL357A#B",hewlett packard enterprise,248.0,9876
204260              ,Ingram,BLUEPARROTT B350-XT HDST       ,gn audio            ,86.06,73
"1747,4005",Difox,KMP H166VX Multipack BK/C/M/Y compatible avec HP 953 XL,kmp,63.61,2
LC1240VALBP,MGF,BROTHER cart ValuePack LC1240,brother,50.53,5
WESOURSFILR,MGF,Souris sans fil optique WE - Nano Dongle USB - connexion 2.4 GHz - 800/1200/1600,we,5.22,246
D0E36097,Arles,FLAT BELT-TRANSFER:INTERMEDIATE TRA (OLD D2416097),ricoh,0.0,34
6VC-01518,terra computer,MS OVS Win Svr RDS U-CAL Lic/SA EE 1Y EDU [E],microsoft,7.5,100
60118437,Secomp,SCHROFF PASSE-CABLE JOINT BALAI 1U PAR 2 60118-437,schroff,20.84,4
L7E75AAE,macle,3PAR 8440 TRANSITION AI-ESTOCK,hewlett packard enterprise,240.0,50
PTH0130A,psaparts,18, ,2.0,29
SL-7065-BN,Also,SPEEDLINK CORTEX Twistable Protection iPad mini marron,speedlink,8.84,41
LUMLLS030BXWLNW,Difox,"New Garden Lola Slim 30 Lampe de jardin dÃ©co, blanc",newgarden,19.82,20
UA-RESCUE,Siewert & Kau,Ubiquiti manual emergency KeySwitch UniFi Access Rescue KeySwitch,ubiquiti,67.13,20
BV500I-GR,terra computer,APC EASY-UPS BV  500 VA  BV500I-GR,apc by schneider electric,71.0,9
106R03923,Kosatec,TON Xerox Toner 106R03923 Schwarz bis zu 16.900 Seiten,xerox,164.5,3
77979,Difox,Discovery Pico Polar microscope numÃ©rique,discovery,131.72,4
U0TA2E,macle,EPACK 4YRPIMCNTA SW MOD,hewlett packard enterprise,1629.0,50
1000431,Also,EPOS Micro-casque monaural PC USB Microphone à réduction de bruit,epos,17.07,15
DS-D5C86RB/B,MGF,ECRAN HIKVISION 86'' LFD 4K Interactive 3840x2160 45pts 400cd/m  6ms 60Hz VGA HD,hikvision,1889.14,3
RS1221RP+,techdata,RS1221RP+8 bay NAS 2.4Ghz Quadcore CPU,synology,1716.0,3
U7935E,techdata,"HP Care Pack Next Business Day Hardware Support - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - temps de réponse : NBD - pour HP 72X, E14 G4, E22 G5, P22 G5, P22h G5, P22v G5, EliteDisplay S14, Engage 14, 16",hp,33.0,9876
406067,convena,Ricoh Image Transfer Belt Unit,ricoh,84.57,1
47718,Siewert & Kau,Lindy Patch Cable 47718 - RJ45 - 1.5 m,lindy,2.27,50
D31967,techdata,"Base XX B2 - Sac à dos pour ordinateur portable - 13"" - 15.6"" - gris clair",dicota,27.9,3
C2P42AE MCVP 01,Supplies24,ORIGINAL HP Multipack Noir(e) / Cyan / Magenta / Jaune C2P42AE MCVP 01 932 XL + 933 XL,c2p42ae mcvp 01,100.0,1
CCK4602/00,techdata,Philips CCK4602 - Kit de calibrage des couleurs,philips,676.14,1
407718,Supplies24,ORIGINAL Ricoh Toner Magenta 407718 SP C252HEM ~6000 Seiten,407718,111.03,1
01-SSC-1445,techdata,"SonicWall Capture Advanced Threat Protection Service - Licence d'abonnement (1 an) - 1 appareil - pour P/N: 01-SSC-0213, 01-SSC-0514, 01-SSC-1358, 01-SSC-1705, 02-SSC-0574",sonicwall,356.63,9876
H1061002,Difox,Govee Glide Hexa Light Panels Expansion Pack (2 Panels),govee,27.65,10
APTHP280AE,EET,"Toner BK, rpl CF280A",agfaphoto,31.9,4
22524,Copaco,GXT 715 Chair mat,trust,35.12,55
C9300L-STACK-KIT=,techdata,Cisco - Module d'empilage réseau (pack de 2) - pour Catalyst 9300L,cisco,1436.7,11
90NX0421-M02AF0,Acadia,ASUS ExpertBook B1400CENT-EK4938R,asus,708.0,89
6ASPAT7MBL,techdata,"StarTech.com Cable reseau Ethernet RJ45 Cat6 de 7 m - Cordon de brassage blinde Cat 6 STP sans crochet - Fil Gigabit bleu (6ASPAT7MBL) - Cordon de raccordement - RJ-45 (M) pour RJ-45 (M) - 7 m - STP - CAT 6a - moulé, sans crochet - bleu",startech,26.99,1
W2174EU1N,Difox,Amazfit GTR Mini noir,amazfit,88.4,5
H5GG0E,macle,EPACK 5YR PCA CDMR 7030-K12,hewlett packard enterprise,50206.0,50
KBBTPC1,Also,TNB K-BLUE Bluetooth 3.0 Keyboard Compact And Slim Bluetooth Keyboard 78 Keys Designed To Connect To Computers And Tablets,t'nb,14.41,27
MSPPXMI-DFA0009,EET,SURFACE PRO 5 / PRO 6 LCD,coreparts,111.0,3
RM2-5452-000CN,EET,Tray 2 Paper Pick-Up Roller,hp,15.3,206
SM-X510NLGEEUB,PCA,Samsung Galaxy Tab S9FE 10.9'' WIFI 256Go Vert d'eau RAM 8Go Android 13  2304x14,samsung,461.42,46
76N-03085,terra computer,MS OVS Sharepoint EE D-CAL Lic/SA ADD 1Y GOV [D],microsoft,34.0,100
1102TF3NL0,Kosatec,L Kyocera ECOSYS M3145dn S/W-Laserdrucker 3in1 A4 LAN Duplex ADF,kyocera,847.39,9
5PS7A07808,macle,3Y NBD PRE FDN + YDYD,lenovo,1036.0,50
U1ZK2E,macle,EPACK 3YR 8206 ZL SWT PRM SW F,hewlett packard enterprise,4607.0,50
CFQ7TTC0P4WT-0009-1M1M,terra computer,CSP Microsoft Cloud PKI (Education Student Pricing) [1M1M],microsoft,0.28,100
687242-001,macle,HPE HEATSINK ASSEMBLY FOR DL320E G8,hewlett packard enterprise,29.0,9
CON-ECMU-LICCUCHM,Also,CISCO SWSS UPGRADES UC Manager-12.x Enhanced Single User Lic - Duration: 12 Months,cisco,39.84,100
60.1004,Difox,TFA 60.1004 RÃ©veil Best friends,tfa-dostmann,5.25,7
4260709019956,Difox,Rivacase 7523 Sac Ã  dos laptop 13.3-14  ECO gris,rivacase,21.06,4
CBS110-5T-D-EU,techdata,"Cisco Business 110 Series 110-5T-D - Commutateur - non géré - 5 x 10/100/1000 - de bureau, Montable sur rack, fixation murale - Tension CC",cisco,49.14,326
3-06397-10,macle,LABEL LTO6 BAR CODE,diverse hersteller,50.0,3
2P-IN3T16GRAHKX2,psaparts,0, ,2.0,20
702213-B21,macle,HP IB FDR 2P 545M ADPTR,hewlett packard enterprise,39.0,36
2608619266,Difox,Bosch X-LOCK Disque Ã  tronÃ§onner 10x115x1mm standard INOX,bosch,4.9,10
01GC014,macle,3YR TECH INSTALL NBD,lenovo,285.0,50
PRICPFI120BK,Supplies24,ORIGINAL Prindo Cartouche d'encre Noir(e) PRICPFI120BK PFI-120 130ml,pricpfi120bk,30.33,1
11.02.8310,Secomp,"ROLINE Câble USB, A-MicroB,M/M, 0,15m",roline,1.5,1090
CN80-CB-CNV-0       ,Ingram,CN80 4 BAY CHARGE BASE         ,honeywell           ,417.94,4
01KN507,macle,LENOVO CTR RAID 930-8i 2GB FLASH 12G,lenovo,275.0,1
M321RYGA0BB0-CQK,terra computer,RAM DDR5 REG  96GB/PC4800/ECC/Samsung (2Rx4),samsung,475.0,50
P-U86TRPP,Also,HP Poly 1yr Poly PrivateConnect powered by Pexip-ERM option license-1 per endpoint Subscription TermRequires U71V1PXand Install SKU,hp inc.,35.86,100
1950-79,EET,"Link 950 USB-A, USB-A & USB-C ",jabra,97.8,1
U5X49E,techdata,"Electronic HP Care Pack Next Day Exchange Hardware Support - Contrat de maintenance prolongé - remplacement - 4 années - expédition - temps de réponse : NBD - pour ScanJet Enterprise 7000 s2, Enterprise Flow 7000 s3",hp,328.0,9876
10006995-5K         ,Ingram,Z-BAND DIRECT ADULT 25X279MM   ,zebra               ,241.24,4
42T4432,EET,Adapter 90 Watt (EU1),lenovo,45.6,25
HS7T7E              ,Ingram,HPE 3Y TC CRIT WCDMR DL360     ,hpe                 ,5181.94,9999
KVR26N19S8/8,ecp,Integration/5- Mémoire/DIMM DDR4/1- Standard,kingston,16.9,1
0611910007,Difox,Bosch GBH 18V-26 F Batterie du Marteau Perforateur,bosch,397.1,20
C13T664240,Kosatec,TIN Epson Tinte 664 EcoTank C13T664240 Cyan bis zu 7.500 Seiten,epson,7.31,2
U4VD6E,techdata,HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 1 année - expédition - 9x5 - temps de réponse : NBD,hewlett packard enterprise,205.0,9876
CFQ7TTC0MJ3G-0001-1J1J,terra computer,CSP Teams Essentials and Teams Phone with domestic calling [1J1J],microsoft,185.07,100
D9Y32AA#ABD,psaparts,Ultraslim Docking Station includes power cable. For EU.,hp,78.43,3
D7RNC,macle,DELL PSU 1755W FOR POWERVAULT MD3060,dell,82.0,15
GLB251407,EET,"PLA 2,85mm 1KG  Dark Green",gearlab,15.9,1
TXTHPCF360X MCVP,Supplies24,ORIGINAL Tonex Multipack Noir(e) / Cyan / Magenta / Jaune TXTHPCF360X MCVP 508X ~41000 Seiten,txthpcf360x mcvp,111.1,1
U86Q7X,Also,HP 3 year Societe Generale Prof MIS Service,hp inc.,2.04,100
008R13326,Topus,095205068979,xerox supplies,11.0,25
HH9W2E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour contrôleur) - 1 année - sur site - 24x7 - temps de réponse : 4 h - pour P/N: JX925A, JX926A, JX927A, JX927AR, JX928A, JX928AR",hewlett packard enterprise,567.0,9876
01LV488,EET,Screw Tape Kit,lenovo,19.2,1
5SS0V15985,EET,Liteon CL1-4D128 128GB M.2PCIe,lenovo,84.3,14
6ZA17AE,Supplies24,ORIGINAL HP Tte d'impression Noir(e) 6ZA17AE Tte d?impression noire 6ZA17AE,6za17ae,10.92,1
U8ZF0E,macle,EPACK 4YR NBDCHNLRMTPRT LJ M52,hp inc.,455.0,50
MFCJ4340DWERE1,Also,BROTHER MFCJ4340DWE ECOPRO Inkjet Multifunction Printer 4in1 20/19ppm 1200x2400dpi,brother,144.7,25
SP3022-DEMEA,Copaco,Dell Speakerphone SP3022,dell,62.4,4
ACC-MBO-KT-AX       ,Ingram,ADAPTOR BRACKET FOR OUTDOOR    ,extreme networks    ,70.15,2
82 01 200,Difox,KNIPEX Pince Ã  prÃ©hension frontale,knipex,14.59,50
WT220CL,PCA,BROTHER récup. toner HL3140CW,brother,14.45,13
FSP:GBTS20Z00DEDT2,macle,SP EXT 12M OS/9X5/NBD RT,fujitsu,54.0,50
Spoiler,ecp,Integration/2- Boitier/5- VENTILATION,maxcube,5.0,1
HP5Y8E,techdata,"HPE Foundation Care Next Business Day Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 9x5 - temps de réponse : NBD - universitaire, pour les particuliers - pour P/N: JD239B, JD239BC, JD239BR, JD239C, JD239CR, JG5",hewlett packard enterprise,1294.0,9876
C5F98-60111,EET,Adf/Scanner Assy Duplex,hp,176.1,14
AK-300137-018-S,Difox,DIGITUS CÃ¢ble USB Type-C Type-C- mikro B Ver. USB 2.0,digitus,4.29,7
VO-W1-100/140,Secomp,Etrier métallique 140x100 mm côté par 10,conteg,54.88,3
GLBG21477268,EET,"Gold Privacy Filter 21.5"" ",gearlab,36.9,7
5P850IR             ,Ingram,5P 850I RACK1U- LINE IN        ,eaton               ,400.0,7
501126,Difox,Proficook PC-SV 1126 PC Sous-vide,proficook,61.21,2
TSS984GL,Also,TARGUS Education Work-in 13.3p C/Shell Bag,targus,15.22,7
106R03480,Supplies24,ORIGINAL Xerox Toner Noir(e) 106R03480 ~5500 Seiten,106r03480,128.93,1
SU963A              ,Ingram,SA MLT-D205L H-YIELD BLK TONER ,hp inc.             ,94.6,4
2965B001,Topus,4960999579993,canon supplies,209.0,1
74C20M0,Supplies24,ORIGINAL Lexmark Toner Magenta 74C20M0 ~3000 Seiten,74c20m0,116.85,1
TS-963X-8G,macle,TS-963X-8G 5+4 BAY 2.0GHZ QC 8,qnap,970.0,9
7B0N9EA#ABF,techdata,HP Elite 800 G9 - SFF - Core i9 13900 / jusqu'à 5.6 GHz - vPro - RAM 16 Go - SSD 1 To - NVMe - graveur de DVD - T400 - Gigabit Ethernet - Win 11 Pro - moniteur : aucun - clavier : Français,hp,2204.0,9
U3FW8E,macle,EPACK 3YR 24X7 HP MSR931 RTR,hewlett packard enterprise,275.0,50
21.99.0861,convena,VALUE S/FTP (PiMF) PatchCord Cat.6A/Class EA Gre..,value,1.43,10
R8W31A,Also,HPE Aruba Instant On 802.3af POE Midspan,aruba,32.4,5
40X1883,eparts,PICK ROLL ASSY:PICK ROLL,lexmark,3.2,9
Z17HXA14VGT283BE,Copaco,17i QHD+ 165 Hz 100% DCI-P3 Finger/Pen Touch / Intel Core i9-14900HX / 4070 8GBGDDR6 / 32GB*2 DDR5-5600 / 2TB NVMe PCIe GEN4x4 SSD / W11 Pro AZERTY BE,msi,4899.9,9
H1ZW7E,techdata,"HPE Foundation Care Call-To-Repair Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: JL254A#ABB, JL254A#ACC, JL254A",hewlett packard enterprise,4147.0,9876
906.0217,Secomp,BACHMANN STEP ALU 2xUTE 2xCM GST18,bachmann,40.72,1
JVASWI00027,Also,STEELPLAY Mini Dock Adapteur USB-C/HDMI SWITCH,steelplay,13.98,100
CE820-ATA-G,Tarox,ATEN CE820 USB HDMI HDBaseT 2.0 KVM Extender,aten,0.0,4
RP000635080,EET,4GB PC3-12800 DDR3 1600 SODIMM,hewlett packard enterprise,32.7,1
5PS0N74187,techdata,"Lenovo Onsite + Keep Your Drive + Premier Support - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - temps de réponse : NBD - pour ThinkPad P1 Gen 4 20Y4, T14 Gen 2 20W0, T14s Gen 1 20UJ, T14s Gen 3 21BS",lenovo,221.0,9876
7030,Difox,Pica Fine-Dry Kit de mines HB,pica-marker,2.77,20
4386,Difox,Herma Etiq. rondes amov.    20mm 25f. DIN A4 2400 piÃ¨ces     4386,herma,6.27,10
CT40-CB-UVN-0,Jarltech,"Honeywell charging station, 4 slot",honeywell,323.63,3
BE-USB2-CDSL-06,MCA,Connectland - Boîtier externe USB 2.0 pour graveurs slim SATA CDSL-06.,connectland,7.9,5
C13T01D300,Siewert & Kau,Epson - XXL size - magenta - original - ink pack,epson,80.48,8
HM0M0E,techdata,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 1 année - expédition - 9x5 - temps de réponse : NBD - universitaire, pour les particuliers - pour P/N: R4G99A, R4H00A, R4H01A, R4H02A, R4H03A, R4H03A",hewlett packard enterprise,55.0,9876
ALT0775A,psaparts,11, ,2.0,29
FSP:GD3S60Z00DESTC,macle,SP 3Y OS 9X5 4H RT,fujitsu,4926.0,50
HA1S1E,techdata,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 4 années - expédition - 24x7 - temps de réponse : 4 h - volume, Tier 1 - pour HPE Aruba AP-334",hewlett packard enterprise,309.0,9876
81Y9323,macle,IBM CPU XE QC 1.60GHz E5603 1066MHz 4MB,ibm,89.0,39
2P-LTN156AT24-401,psaparts,26, ,2.0,41
013R00659,Imcopex,Xerox Drum Trommel 7120 Magenta (013R00659),xerox,93.48,51
VFY:R1335SC033IN,Copaco,PY RX1330M5/SFF/HP PSU /,fujitsu technology solut.,1291.16,3
B-EPEN-L2-AF,Also,ESET Protect Enterprise New 2 years 250-499p,eset,56.78,100
MMI1009/4GB,EET,4GB Memory Module for IBM,coreparts,77.4,7
CPE210,Copaco,CPE210 Outdoor 2.4GHz 300Mbps High power Wireless Access Point upto 27dBm 2.4Ghz 802.11b/g/n High Sensitivity 9dBi directional antenna Weather proof Passive PoE,tp-link,30.54,4
U7EG6E,macle,EPACK 5YR FC 24X7 5130 48G,hewlett packard enterprise,3822.0,50
2607002836,Difox,Bosch Coffret de 42 embouts de vissage de prÃ©cision,bosch,20.57,50
B-EPMP-L1-AC,Also,ESET Protect Mail Plus New 1 year 26-49p,eset,13.84,100
P-U95FSPV,Also,HP Poly 1yr Poly+ FRURAD Group 310 720p with EagleEye Acoustic Camera-Government Agency Use only-Certain Restriction,hp inc.,344.64,100
77-95404,MGF,OtterBox React Samsung Galaxy A35 5G - black - ProPack,otterbox,9.26,11
HD2692/90,Difox,Philips HD 2692/90,philips,39.18,10
11553,Difox,Rapoo XC105 noir Chargeur QI sans fil,rapoo,8.07,4
55318,Difox,"Verbatim 3D Printer Filament PLA 1,75mm 1kg noir",verbatim,17.94,10
320148,Difox,Smoby Valise cosmÃ©tique My Beauty,smoby,19.37,10
FRU04Y0911,EET,Keyboard (FRENCH),lenovo,78.9,21
2218424             ,Ingram,EPSON PUSB Y CABLE: PWR-USB TO ,epson               ,40.02,63
HDM1919C3,EET,"HDMI High Speed mini cable, 3m",microconnect,6.6,37
CEF27UK,psaparts,0, ,0.0,19
LS27BG650EUXEN,Imcopex,"Samsung ODYSSEY G6 27 Flachbildschirm (TFT LCD) 27"""" (LS27BG650EUXEN)",samsung,261.33,5
P-P736150404,Also,HP Poly 3yr+ software Service Clariti Manager Appliance and Virtual Edition - 500 Audio or Content Device Licenses,hp inc.,1944.36,100
823951-001,convena,"HPI Raw Display Panel 14.0"" FHD LED SVA A",hp inc.,74.57,35
00WX239,macle,4Y ESS SVC OS 24X7X4,lenovo,3007.0,50
ASK3-120GB,Siewert & Kau,Apricorn Aegis Secure Key 3.0 - USB flash drive - 120 GB,apricorn,177.82,15
305001              ,Ingram,HDMI CONNECTION M - HDMI M 1.5M,dcu tecnologic      ,1.77,46
1P8D1,macle,DELL NIC PRO/1000 PT 2-PORT,dell,27.0,4
5449C026,Also,CANON PIXMA TS7451i Inkjet Multifunction Printer 13ppm,canon,67.9,94
JL086A,Ikonic,Aruba X372 54VDC 680W PS,jl086a,0.0,1
MYSAFEU312,Also,I-TEC MySafe Advance AluBasic 2.5p USB 3.0 Case 6.4cm 2.5p SATA HDD HDD external Enclosure SuperSpeed Black Aluminium,i-tec,6.2,49
CFQ7TTC0MBMD-001P-1J1M,terra computer,CSP Microsoft 365 F1 EEA (no Teams) [1J1M],microsoft,1.32,100
DS-2CD2183G2-I(2.8MM),EET,DS-2CD2183G2-I(2.8mm),hikvision,129.88,87
6VC-00761,terra computer,MS OVL Win RDS U-CAL SA ADD 1Y2Y [NL],microsoft,34.5,100
0481C002*,Arles,Canon Toner C-EXV 51 Black  - CHIPLESS,canon,0.0,10
TBA3-600C150M-EM,techdata,"Routeur Mobile LTE/4G - WAN Connectivity:4G Cat 4, GbE - LAN Connectivity:Wi-Fi 4, GbE - Firewall Throughput:75 Mbps - Management:NetCloud",cradlepoint,732.49,9876
S-6AUTP-05R,convena,ProXtend Ultra Slim CAT6A U/UTP CU LSZH Ethernet..,proxtend,3.62,80
45N0306,EET,Adapter 90 Watt (EU1),lenovo,43.3,25
AP9879              ,Ingram,POWER CORD                     ,apc                 ,49.23,28
FW3L3_3PS5PS        ,Ingram,3Y PROSPT TO 5Y PROSPT         ,dell emc            ,78.42,9999
KT-70147-01R,EET,Belt Clip,zebra,11.7,3
C11CG19401,ecp,Peripheriques/Imprimantes/Multifonction/Jet d encre,epson,328.0,1
EX6130-100FRS       ,Ingram,AC1200 WLAN RANGE EXTENDER DB  ,netgear             ,54.76,11
MSNX1021,EET,NGFF M.2 to MacBook Pro,coreparts,14.1,5
9SXEBM72R,Tarox,EATON Batteriepaket für 9SX 2000/3000VA Rack,eaton power quality,0.0,2
N7-Pro-W4-S4,Jarltech,"Newland N7 Cachalot Pro II, 2D, 10.5 cm (4''), GPS, USB-C, BT, WiFi, 4G, NFC, Android, en kit (USB), GMS",newland,837.85,5
2P-ADP-45DW.DA,psaparts,AC Adapter 19V 2.37A 45W includes power cable,2-power,46.51,6
40623,convena,Lindy Port Blocker Key USB Type A Orange,lindy,14.86,3
WCB002VFWH,techdata,"Belkin chargeur secteur double USB-A 12W x2, blanc",belkin,19.99,49
CL25-540BL1,convena,Neomounts by Newstar projector ceiling mount,neomounts by newstar,63.35,3
MU-PC1T0T/WW,macle,SSD PORTABLE T7 1TB,samsung,80.0,35
KL4542XAEDR,ecp,Integration/8- Logiciel/2- LOGICIEL ANTIVIRUS/2- Licence,kaspersky,28.64,1
2P-FUJ:CP298058-01,psaparts,30, ,2.0,24
2969B001,Octant,CANON Cartouche Encre PG512 Photo Noir 400 pages,can2969b001,15.98,15
LC1220C,Siewert & Kau,Brother LC1220C - cyan - original - ink cartridge,brother,7.6,85
CK65-L0N-BLN210E,Jarltech,"Honeywell CK65, 2D, LR, 10.5 cm (4''), alpha, BT, WiFi, NFC, Android, GMS",honeywell,1624.59,4
B-EPAOP-R3-AD,Also,ESET Protect Advanced On-Prem Renew 3 years 50-99pp,eset,45.58,100
DELL-U3223QE,macle,DELL MONITOR ULTRASHARP U3223QE,dell,655.0,24
PROTEAMS31,Also,HP Poly PBX migration to Microsoft Teams or Zoom based on per extension above 20k,hp inc.,20.64,100
C9408A,Siewert & Kau,"HP 70 - blue, green - printhead",x-artikel,65.96,1
D9L20A,Ikonic,HP OfficeJet Pro 8730 All-in-O,d9l20a,0.0,12
PB634-3-WW,Copaco,PocketBook Verse Pro - Passion Red,pocketbook,130.58,112
S-6AUTP-02B,convena,ProXtend Ultra Slim CAT6A U/UTP CU LSZH Ethernet..,proxtend,1.63,100
4GD73AA/A-R4,flexit,"iPhone 12 Pro Max 128GB 6.7"" Graphite No Accessories",apple,429.0,4
360027,Difox,Doro Primo 418 graphite,doro,65.54,6
3JA30AE,terra computer,"Tinte HP OfficeJet Pro 90xx Black 3JA30AE HP 963XL Black/2,000 Seiten",hewlett packard,34.9,100
GOUV-B-EPA-R1-AB,Also,ESET GOUV Protect Advanced Renew 1 year 11-25p,eset,20.33,100
873036-001,EET,1.2TB SAS 12G 10K SFF DS ST,hewlett packard enterprise,227.1,23
U8TH2PE,Copaco,HP 1y PW Nbd Exch SJ Pro 2500 Service Scanjet Pro 2500 1 yr post wrrnty Exchange SVC. HP ships replacement next bus d 8am-5pm Std bus d excl HP hol. HP pre-pays,hp printing & computing,71.11,178
HP4C9E,techdata,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 4 années - expédition - 24x7 - temps de réponse : 4 h - universitaire, volume, Tier 2, pour les particuliers - pour P/N: JL354-61001, JL354A#ABA, JL354A#ABB, JL",hewlett packard enterprise,337.0,9876
H3AA0E,macle,EPACK 5YR PCA 24X7 7005 CTR,hewlett packard enterprise,14666.0,50
141H7AA,EET,32GB 1x32GB 3200 DDR4 ECC ,hp,105.6,3
24G2ZU/BK           ,Ingram,24G2ZU/BK 23.8IN IPS FHD 240HZ ,aoc                 ,201.06,30
H6RN3E,techdata,HPE Foundation Care Software Support 24x7 - Support technique - pour HPE Intelligent Management Center Standard Software Platform - 50 n?uds - ESD - support téléphonique - 4 années - 24x7 - temps de réponse : 2 h,hewlett packard enterprise,2505.0,9876
SDSQXAV-256G-GN6MA,techdata,SanDisk Extreme - Carte mémoire flash (adaptateur microSDXC vers SD inclus(e)) - 256 Go - A2 / Video Class V30 / UHS-I U3 / Class10 - microSDXC UHS-I,sandisk,49.31,51
UTP5E-3M            ,Ingram,ECO PATCH CABLE CAT 5E U/UTP   ,mcl samar micro cabl,0.66,17
ML12754,EET,Projector Lamp for Vivitek,coreparts,91.35,9
815102-H21,macle,128GB 8Rx4 PC4-2666V-L Sm STOC,hewlett packard enterprise,1970.0,4
L44538-001,EET,Touch Pad,hp,67.2,2
2P-EADP-60KB B,psaparts,22, ,2.0,16
ST1800MM0129,terra computer,"Seagate HD2.5"" SAS3 1.8TB ST1800MM0129/10k/512e~~~ Warranty / Garantie via Wortmann",seagate,165.0,100
404024-001,macle,HEWLETT-PACKARD HP 80GB SATA 7.200RPM 3.5,hewlett packard enterprise,69.0,4
21.99.1024,Secomp,"Cordon VALUE UTP Cat6/Cl. E, LSOH, bleu, 0,5m",value,0.56,417
CFQ7TTC0HVZW-000J-1J1J,terra computer,CSP Priva Subject Rights Requests (10) [1J1J],microsoft,1543.92,100
RZ01-03850200-R3M1,MGF,"RAZER  Souris gaming filaire DeathAdder Essential - forme ergonomique, 5 boutons",razer,28.35,717
APTBTN2120E,Supplies24,ORIGINAL Agfa Photo Toner Noir(e) APTBTN2120E ~2600 Seiten Agfa Photo TN-2120,aptbtn2120e,15.66,1
2P-FUJ:CP615308-XX,psaparts,15, ,2.0,40
HJ7M1E              ,Ingram,ARUBA 3Y FC NBD EXCH HW 9004   ,hpe                 ,142.9,9999
43X3316,macle,IBM PSU 900 WATT HIGH EFFICIENCY,ibm,29.0,4
AHWF4112C0N,MGF,ELEVATE Toner pour CF411X,elevate,109.2,2
438628-001,macle,438628-001 HP 72GB 10K SP SFF SAS HDD,hewlett packard enterprise,69.0,15
LC-NB-GAN-90-C,Siewert & Kau,NB ACC LC-Power LC-NB-GAN-90-C 90W,lc-power,14.67,15
P-P21120114,Also,HP Poly 1yr+ Onsite RMX 2000/MPMRx IP only 30x1080p60/60x1080p30/120x720p/240xSD resource config and lic sys,hp inc.,94563.06,100
H3FP3PE,macle,EPACK 12 PLUS FC 24X7 7220 CTR,hewlett packard enterprise,14155.0,50
C13T79114010,Also,EPSON 79 cartouche dencre noir capacité standard 14.4ml 900 pages pack de 1,epson,19.37,2
CFQ7TTC0LFDZ-001J-1J1J,terra computer,CSP Dynamics 365 Customer Service Enterprise (Education Faculty Pricing) [1J1J] New Commerce,microsoft,453.71,100
